1,0.261637,0.257019
2,0.263475,0.259598
3,0.266919,0.262907
4,0.321909,0.269500
5,0.345911,0.275520
6,0.350714,0.283286
7,0.346577,0.329855
8,0.360350,0.346652
9,0.369300,0.360860
10,0.365864,0.344423
11,0.373987,0.358577
12,0.381921,0.370881
13,0.382555,0.376445
14,0.377584,0.364564
15,0.377490,0.371290
16,0.397751,0.370298
17,0.418365,0.377665
18,0.417398,0.409448
19,0.439769,0.415881
20,0.505398,0.486406
21,0.521916,0.502743
22,0.563136,0.520555
23,0.572745,0.526758
24,0.566664,0.546903
25,0.573282,0.556902
26,0.572363,0.552442
27,0.569333,0.541429
28,0.574597,0.551676
29,0.569640,0.559449
30,0.566095,0.560806
31,0.582274,0.563546
